Tumor_Sample_Barcode,Tumor_Sample_Barcode
TCGA-EJ-5499,TCGA-EJ-5499
MO_1012,MO_1012
TCGA-CH-5752,TCGA-CH-5752
SC_9126,SC_9126
PROS01448-6115227-SM-67ERU,PROS01448-6115227-SM-67ERU
SC_9165,SC_9165
TCGA-XK-AAIW,TCGA-XK-AAIW
TCGA-YL-A8SH,TCGA-YL-A8SH
SC_9162,SC_9162
TCGA-HI-7171,TCGA-HI-7171
TCGA-QU-A6IM,TCGA-QU-A6IM
SC_9163,SC_9163
TCGA-KK-A6E1,TCGA-KK-A6E1
TCGA-HC-7210,TCGA-HC-7210
TCGA-V1-A9OL,TCGA-V1-A9OL
TCGA-V1-A9OX,TCGA-V1-A9OX
TCGA-J4-A67R,TCGA-J4-A67R
SC_9061,SC_9061
PROS01448-6115235-SM-67ERY,PROS01448-6115235-SM-67ERY
TCGA-XJ-A9DQ,TCGA-XJ-A9DQ
SC_9056,SC_9056
MO_1410,MO_1410
TP_2001,TP_2001
SC_9094,SC_9094
SC_9132,SC_9132
SC_9008,SC_9008
SC_9072,SC_9072
PROS12319B-SU2C-06115118-SM-4W2ND,PROS12319B-SU2C-06115118-SM-4W2ND
SC_9123,SC_9123
SC_9138,SC_9138
TCGA-HC-7077,TCGA-HC-7077
TCGA-G9-6361,TCGA-G9-6361
SC_9027,SC_9027
TCGA-H9-A6BY,TCGA-H9-A6BY
PRAD-6115395.0-SM-7LGUH,PRAD-6115395.0-SM-7LGUH
TCGA-EJ-5521,TCGA-EJ-5521
SC_9047,SC_9047
TCGA-CH-5761,TCGA-CH-5761
PRAD-6115399.0-SM-7LGUL,PRAD-6115399.0-SM-7LGUL
SC_9038,SC_9038
PRAD-6115385.0-SM-7LGU7,PRAD-6115385.0-SM-7LGU7
TCGA-J9-A52C,TCGA-J9-A52C
TCGA-KC-A7FD,TCGA-KC-A7FD
SC_9022,SC_9022
TCGA-YL-A8SR,TCGA-YL-A8SR
PM189,PM189
TCGA-KC-A4BL,TCGA-KC-A4BL
TCGA-HC-7750,TCGA-HC-7750
TCGA-KK-A6E4,TCGA-KK-A6E4
TCGA-KK-A7B1,TCGA-KK-A7B1
SC_9010,SC_9010
TCGA-EJ-7788,TCGA-EJ-7788
SC_9171,SC_9171
TCGA-YL-A8SA,TCGA-YL-A8SA
TCGA-KK-A8IC,TCGA-KK-A8IC
SC_9036,SC_9036
TCGA-G9-7525,TCGA-G9-7525
MO_1232,MO_1232
SC_9081,SC_9081
SC_9172,SC_9172
PROS12319B-SU2C-06115122-SM-4W2NH,PROS12319B-SU2C-06115122-SM-4W2NH
SC_9076,SC_9076
TCGA-XQ-A8TB,TCGA-XQ-A8TB
SC_9026,SC_9026
SC_9032,SC_9032
TCGA-XJ-A83F,TCGA-XJ-A83F
TCGA-EJ-7791,TCGA-EJ-7791
TCGA-XQ-A8TA,TCGA-XQ-A8TA
MO_1014,MO_1014
TCGA-ZG-A9NI,TCGA-ZG-A9NI
SC_9140,SC_9140
MO_1084,MO_1084
SC_9099,SC_9099
SC_9121,SC_9121
TCGA-V1-A8MG,TCGA-V1-A8MG
TCGA-EJ-7782,TCGA-EJ-7782
TCGA-KK-A59V,TCGA-KK-A59V
TCGA-YL-A9WI,TCGA-YL-A9WI
TCGA-YL-A8HO,TCGA-YL-A8HO
SC_9144,SC_9144
TCGA-2A-A8VL,TCGA-2A-A8VL
PROS12319B-SU2C-06115119-SM-4W2NE,PROS12319B-SU2C-06115119-SM-4W2NE
TCGA-CH-5754,TCGA-CH-5754
TCGA-J4-A83J,TCGA-J4-A83J
TCGA-KC-A7F3,TCGA-KC-A7F3
SC_9100,SC_9100
SC_9030,SC_9030
PROS01448-6115242-SM-67ES1,PROS01448-6115242-SM-67ES1
TCGA-Y6-A9XI,TCGA-Y6-A9XI
TCGA-CH-5772,TCGA-CH-5772
TCGA-KK-A8IJ,TCGA-KK-A8IJ
TCGA-EJ-5524,TCGA-EJ-5524
SC_9086,SC_9086
TCGA-YL-A9WH,TCGA-YL-A9WH
MO_1040,MO_1040
MO_1447,MO_1447
TCGA-EJ-5518,TCGA-EJ-5518
TCGA-V1-A9O5,TCGA-V1-A9O5
TCGA-EJ-5519,TCGA-EJ-5519
SC_9071,SC_9071
TCGA-ZG-A9LZ,TCGA-ZG-A9LZ
TCGA-EJ-5498,TCGA-EJ-5498
TCGA-HC-7742,TCGA-HC-7742
TCGA-EJ-7783,TCGA-EJ-7783
TCGA-EJ-A8FO,TCGA-EJ-A8FO
SC_9090,SC_9090
TP_2077,TP_2077
TCGA-HC-A6AO,TCGA-HC-A6AO
SC_9156,SC_9156
SC_9105,SC_9105
TCGA-G9-6378,TCGA-G9-6378
SC_9118,SC_9118
SC_9096,SC_9096
TCGA-TK-A8OK,TCGA-TK-A8OK
SI_9157,SI_9157
SC_9001,SC_9001
SC_9046,SC_9046
SC_9141,SC_9141
SC_9028,SC_9028
SC_9073,SC_9073
TCGA-G9-7522,TCGA-G9-7522
SC_9109,SC_9109
TP_2064,TP_2064
TCGA-V1-A9ZI,TCGA-V1-A9ZI
TCGA-EJ-5503,TCGA-EJ-5503
PM155,PM155
TCGA-EJ-A65F,TCGA-EJ-A65F
SC_9007,SC_9007
SC_9016,SC_9016
TCGA-EJ-5527,TCGA-EJ-5527
TCGA-CH-5739,TCGA-CH-5739
TCGA-YL-A8HJ,TCGA-YL-A8HJ
PM2,PM2
TCGA-EJ-7797,TCGA-EJ-7797
PROS01448-1115244-SM-5SGU6,PROS01448-1115244-SM-5SGU6
MO_1013,MO_1013
TCGA-V1-A9OA,TCGA-V1-A9OA
TCGA-G9-6363,TCGA-G9-6363
TCGA-HI-7168,TCGA-HI-7168
SC_9153,SC_9153
MO_1215,MO_1215
MO_1184,MO_1184
TCGA-VP-A872,TCGA-VP-A872
TCGA-EJ-5525,TCGA-EJ-5525
PROS01448-6115234-SM-67ERX,PROS01448-6115234-SM-67ERX
MO_1118,MO_1118
SC_9029,SC_9029
TCGA-ZG-A9LS,TCGA-ZG-A9LS
PROS12319B-SU2C-06115121-SM-4W2NG,PROS12319B-SU2C-06115121-SM-4W2NG
PROS01448-1115183-SM-5SGU3,PROS01448-1115183-SM-5SGU3
TCGA-XK-AAIR,TCGA-XK-AAIR
TCGA-YJ-A8SW,TCGA-YJ-A8SW
PRAD-6115396.0-SM-7LGUI,PRAD-6115396.0-SM-7LGUI
TCGA-KK-A8IL,TCGA-KK-A8IL
TCGA-EJ-A7NN,TCGA-EJ-A7NN
TCGA-G9-6496,TCGA-G9-6496
TCGA-ZG-A9L2,TCGA-ZG-A9L2
TCGA-J4-A67M,TCGA-J4-A67M
TCGA-G9-6379,TCGA-G9-6379
TCGA-G9-6371,TCGA-G9-6371
TCGA-ZG-A9L9,TCGA-ZG-A9L9
SC_9148,SC_9148
SC_9083,SC_9083
TCGA-KK-A8I6,TCGA-KK-A8I6
SC_9060,SC_9060
SC_9068,SC_9068
TCGA-HC-A76X,TCGA-HC-A76X
TCGA-EJ-A8FN,TCGA-EJ-A8FN
PROS01448-6115247-SM-67ES2,PROS01448-6115247-SM-67ES2
TCGA-EJ-5508,TCGA-EJ-5508
MO_1202,MO_1202
MO_1124,MO_1124
TP_2078,TP_2078
TCGA-CH-5788,TCGA-CH-5788
PROS01448-6115233-SM-67ERW,PROS01448-6115233-SM-67ERW
SC_9017,SC_9017
TCGA-CH-5737,TCGA-CH-5737
TP_2061,TP_2061
SC_9107,SC_9107
TCGA-G9-6339,TCGA-G9-6339
TCGA-KK-A6E8,TCGA-KK-A6E8
PM163,PM163
SC_9092,SC_9092
SC_9142,SC_9142
TCGA-CH-5738,TCGA-CH-5738
PRAD-6115398.0-SM-7LGUK,PRAD-6115398.0-SM-7LGUK
MO_1473,MO_1473
SC_9021,SC_9021
MO_1071,MO_1071
TCGA-G9-6362,TCGA-G9-6362
TCGA-CH-5753,TCGA-CH-5753
PRAD-6115397.0-SM-7LGUJ,PRAD-6115397.0-SM-7LGUJ
TCGA-G9-6498,TCGA-G9-6498
MO_1421,MO_1421
PROS12319B-SU2C-06115114-SM-4W2N9,PROS12319B-SU2C-06115114-SM-4W2N9
TCGA-XK-AAJT,TCGA-XK-AAJT
TCGA-HC-A4ZV,TCGA-HC-A4ZV
TCGA-HC-8265,TCGA-HC-8265
TCGA-HC-7736,TCGA-HC-7736
TCGA-EJ-A6RC,TCGA-EJ-A6RC
SC_9054,SC_9054
TCGA-KK-A59Y,TCGA-KK-A59Y
TCGA-CH-5750,TCGA-CH-5750
TCGA-EJ-8474,TCGA-EJ-8474
TCGA-EJ-7331,TCGA-EJ-7331
TCGA-EJ-8469,TCGA-EJ-8469
SC_9058,SC_9058
TCGA-HC-8216,TCGA-HC-8216
TCGA-EJ-AB27,TCGA-EJ-AB27
PRAD-6115393.0-SM-7LGUF,PRAD-6115393.0-SM-7LGUF
SC_9097,SC_9097
PROS12319B-SU2C-06115116-SM-4W2NB,PROS12319B-SU2C-06115116-SM-4W2NB
TCGA-XK-AAJA,TCGA-XK-AAJA
PM159,PM159
TCGA-HC-8262,TCGA-HC-8262
SC_9136,SC_9136
MO_1262,MO_1262
TP_2069,TP_2069
TCGA-XK-AAJR,TCGA-XK-AAJR
TCGA-V1-A9OH,TCGA-V1-A9OH
TCGA-KK-A7AQ,TCGA-KK-A7AQ
PROS12319B-SU2C-06115117-SM-4W2NC,PROS12319B-SU2C-06115117-SM-4W2NC
SC_9104,SC_9104
TCGA-HC-7745,TCGA-HC-7745
TCGA-G9-6356,TCGA-G9-6356
SC_9129,SC_9129
TCGA-YL-A8SP,TCGA-YL-A8SP
TCGA-EJ-7328,TCGA-EJ-7328
TCGA-EJ-A8FU,TCGA-EJ-A8FU
TP_2010,TP_2010
TCGA-V1-A8MF,TCGA-V1-A8MF
SC_9082,SC_9082
TCGA-VP-A875,TCGA-VP-A875
TCGA-EJ-5511,TCGA-EJ-5511
TCGA-HC-A9TE,TCGA-HC-A9TE
TCGA-XK-AAK1,TCGA-XK-AAK1
TCGA-HC-A631,TCGA-HC-A631
TCGA-EJ-A7NH,TCGA-EJ-A7NH
TCGA-2A-A8W1,TCGA-2A-A8W1
SC_9145,SC_9145
MO_1074,MO_1074
TCGA-G9-6329,TCGA-G9-6329
TCGA-EJ-A7NM,TCGA-EJ-A7NM
TCGA-G9-7519,TCGA-G9-7519
MO_1008,MO_1008
TCGA-HC-7209,TCGA-HC-7209
MO_1015,MO_1015
TCGA-J4-A67N,TCGA-J4-A67N
TCGA-EJ-A46G,TCGA-EJ-A46G
SC_9150,SC_9150
TCGA-EJ-A46D,TCGA-EJ-A46D
TCGA-G9-7510,TCGA-G9-7510
TCGA-KK-A6E2,TCGA-KK-A6E2
TCGA-EJ-A65D,TCGA-EJ-A65D
TCGA-FC-A4JI,TCGA-FC-A4JI
TCGA-KK-A8IF,TCGA-KK-A8IF
SC_9091,SC_9091
TCGA-KK-A7AP,TCGA-KK-A7AP
SC_9034,SC_9034
TCGA-XJ-A83G,TCGA-XJ-A83G
SC_9137,SC_9137
PM172,PM172
SC_9103,SC_9103
TCGA-KK-A8I9,TCGA-KK-A8I9
TCGA-EJ-5494,TCGA-EJ-5494
TCGA-EJ-7786,TCGA-EJ-7786
TCGA-YL-A9WK,TCGA-YL-A9WK
PM90,PM90
TCGA-KK-A8IG,TCGA-KK-A8IG
TCGA-HC-7747,TCGA-HC-7747
PRAD-6115388.0-SM-7LGUA,PRAD-6115388.0-SM-7LGUA
MO_1114,MO_1114
TCGA-HC-A6HY,TCGA-HC-A6HY
TCGA-EJ-5502,TCGA-EJ-5502
TCGA-EJ-7317,TCGA-EJ-7317
TCGA-YL-A8S9,TCGA-YL-A8S9
TCGA-EJ-5507,TCGA-EJ-5507
PRAD-6115402.0-SM-7LGUP,PRAD-6115402.0-SM-7LGUP
TCGA-HC-A76W,TCGA-HC-A76W
TCGA-EJ-5526,TCGA-EJ-5526
TCGA-KK-A8IK,TCGA-KK-A8IK
TCGA-VP-AA1N,TCGA-VP-AA1N
MO_1176,MO_1176
PRAD-6115390.0-SM-7LGUC,PRAD-6115390.0-SM-7LGUC
SC_9139,SC_9139
TCGA-G9-6369,TCGA-G9-6369
TCGA-HI-7169,TCGA-HI-7169
TCGA-HC-A9TH,TCGA-HC-A9TH
SC_9080,SC_9080
MO_1316,MO_1316
TCGA-KK-A7B2,TCGA-KK-A7B2
TCGA-YL-A9WL,TCGA-YL-A9WL
TCGA-EJ-5496,TCGA-EJ-5496
TCGA-KK-A8IA,TCGA-KK-A8IA
PM119,PM119
TP_2032,TP_2032
TCGA-HC-7821,TCGA-HC-7821
TCGA-KK-A5A1,TCGA-KK-A5A1
TCGA-G9-6333,TCGA-G9-6333
TCGA-VN-A88O,TCGA-VN-A88O
TCGA-EJ-8468,TCGA-EJ-8468
TCGA-EJ-A7NF,TCGA-EJ-A7NF
TCGA-KK-A8II,TCGA-KK-A8II
MO_1128,MO_1128
TP_2060,TP_2060
SC_9024,SC_9024
TCGA-CH-5768,TCGA-CH-5768
PM170,PM170
TCGA-EJ-5531,TCGA-EJ-5531
SC_9063,SC_9063
TCGA-EJ-A65M,TCGA-EJ-A65M
TCGA-J9-A8CL,TCGA-J9-A8CL
TCGA-J9-A8CM,TCGA-J9-A8CM
TCGA-X4-A8KQ,TCGA-X4-A8KQ
TCGA-G9-6373,TCGA-G9-6373
TCGA-YL-A8SF,TCGA-YL-A8SF
TCGA-KK-A7B0,TCGA-KK-A7B0
TCGA-YL-A8SO,TCGA-YL-A8SO
TCGA-V1-A8WV,TCGA-V1-A8WV
TCGA-VN-A943,TCGA-VN-A943
TCGA-EJ-7784,TCGA-EJ-7784
TCGA-QU-A6IL,TCGA-QU-A6IL
TCGA-XJ-A9DX,TCGA-XJ-A9DX
TCGA-G9-A9S0,TCGA-G9-A9S0
TP_2079,TP_2079
PROS01448-6115224-SM-67ERT,PROS01448-6115224-SM-67ERT
TCGA-2A-AAYO,TCGA-2A-AAYO
TCGA-EJ-7789,TCGA-EJ-7789
TCGA-QU-A6IP,TCGA-QU-A6IP
TCGA-KK-A7AU,TCGA-KK-A7AU
TCGA-HC-7744,TCGA-HC-7744
TCGA-KK-A8IH,TCGA-KK-A8IH
TCGA-TP-A8TV,TCGA-TP-A8TV
TCGA-KK-A7AZ,TCGA-KK-A7AZ
TCGA-V1-A8X3,TCGA-V1-A8X3
PRAD-6115400.0-SM-7LGUM,PRAD-6115400.0-SM-7LGUM
